"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"-8.33","(2.13)","","-0.33","(2.39)","","-5.41","(1.37)","","-4.58","(1.35)"
"-9.17","(2.32)","","-0.87","(1.36)","","-4.09","(1.15)","","-0.46","(0.59)"
"-9.49","(2.66)","","-0.52","(3.03)","","-3.20","(1.15)","","0.30","(1.20)"
"-8.19","(2.60)","","-0.28","(3.02)","","-2.40","(1.13)","","-0.10","(1.19)"
"-9.62","(2.17)","","-0.53","(1.32)","","-3.02","(0.95)","","0.36","(0.60)"
"-8.20","(3.12)","","-1.54","(3.37)","","-3.89","(1.40)","","-1.95","(1.34)"
"-8.44","(2.68)","","-0.79","(2.87)","","-3.55","(1.70)","","-2.04","(1.71)"
"-9.91","(3.69)","","-0.55","(3.53)","","-3.74","(2.76)","","-1.23","(2.49)"
"-10.27","(4.02)","","-0.64","(3.80)","","-2.64","(3.20)","","0.20","(2.88)"
"-7.23","(2.02)","","-0.63","(1.17)","","-3.57","(0.99)","","-0.42","(0.56)"
"-8.28","(1.86)","","-0.04","(1.19)","","-2.49","(0.92)","","0.18","(0.54)"
