"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"-9.11","(3.27)","","-2.38","(3.41)","","-3.81","(1.46)","","-3.20","(1.43)"
"-9.24","(2.40)","","-0.86","(1.48)","","-4.16","(1.15)","","-0.48","(0.60)"
"-9.84","(2.78)","","-0.57","(3.25)","","-3.61","(1.14)","","0.16","(1.20)"
"-8.64","(2.46)","","-1.71","(2.86)","","-2.15","(1.11)","","-0.18","(1.18)"
"-9.04","(2.64)","","-0.34","(1.73)","","-3.17","(0.96)","","0.38","(0.59)"
"-10.25","(3.40)","","-2.70","(3.39)","","-3.87","(1.38)","","-1.59","(1.31)"
"-8.21","(3.22)","","-1.03","(3.33)","","-3.35","(1.69)","","-1.81","(1.71)"
"-9.51","(3.92)","","-1.73","(3.74)","","-3.77","(2.65)","","-1.15","(2.39)"
"-9.43","(5.31)","","-0.53","(4.94)","","-2.78","(3.14)","","0.17","(2.82)"
"-8.03","(2.14)","","-0.93","(1.26)","","-3.62","(0.98)","","-0.41","(0.58)"
"-8.52","(2.29)","","-0.59","(1.49)","","-2.53","(0.98)","","0.03","(0.52)"
