"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1794","(671)","","1794","(671)","","1911","(738)","","306","(986)"
"-8498","(582)","","-15205","(656)","","1484","(824)","","-1505","(1220)"
"1066","(627)","","4","(854)","","1751","(824)","","-1940","(1154)"
"1133","(624)","","688","(635)","","1507","(672)","","-1511","(900)"
"1074","(630)","","837","(635)","","1460","(665)","","-1429","(792)"
"1729","(815)","","2255","(1404)","","2138","(946)","","-1565","(1210)"
"1462","(749)","","2241","(762)","","1108","(845)","","-2506","(1191)"
"1224","(690)","","665","(899)","","1398","(820)","","-2038","(1263)"
"1410","(655)","","2438","(878)","","1471","(813)","","-1885","(1370)"
"1406","(655)","","2420","(877)","","1472","(813)","","-1777","(1552)"
"1023","(627)","","45","(797)","","1803","(803)","","-1806","(1050)"
"1550","(721)","","1512","(780)","","1440","(820)","","-1957","(1158)"
