"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1794","(671)","","1794","(671)","","1917","(695)","","1480","(974)"
"-8498","(582)","","-15205","(656)","","817","(788)","","-3929","(1871)"
"1167","(626)","","428","(907)","","1120","(764)","","-3523","(2014)"
"1198","(617)","","721","(630)","","1169","(630)","","-3705","(889)"
"703","(617)","","-1531","(614)","","1194","(621)","","-3980","(760)"
"1333","(761)","","210","(1808)","","1353","(857)","","-4755","(2078)"
"1128","(736)","","-868","(1174)","","752","(804)","","-4944","(1988)"
"1016","(648)","","-570","(1201)","","1256","(775)","","-4120","(2127)"
"1193","(645)","","673","(1136)","","1160","(784)","","-3735","(2069)"
"1192","(645)","","685","(1142)","","1162","(784)","","-3728","(2065)"
"1122","(622)","","404","(812)","","959","(761)","","-3734","(1903)"
"1429","(674)","","-657","(1079)","","1377","(777)","","-4062","(2050)"
