"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"886","(488)","","886","(488)","","802","(486)","","569","(670)"
"-8870","(408)","","-15578","(508)","","-356","(572)","","-3468","(1205)"
"-792","(480)","","-1581","(719)","","-369","(563)","","-3153","(1331)"
"-726","(463)","","-1215","(481)","","-521","(444)","","-3270","(639)"
"-946","(452)","","-2782","(455)","","-393","(422)","","-3255","(566)"
"-290","(585)","","-1123","(1210)","","-330","(651)","","-4688","(1394)"
"-17","(553)","","-1752","(769)","","-285","(554)","","-3562","(1248)"
"-533","(486)","","-2082","(977)","","-587","(588)","","-3850","(1417)"
"-566","(476)","","-719","(888)","","-530","(600)","","-3258","(1433)"
"-567","(476)","","-692","(889)","","-532","(600)","","-3337","(1472)"
"-762","(478)","","-1604","(649)","","-399","(563)","","-3257","(1151)"
"-271","(508)","","-1880","(873)","","-604","(575)","","-3897","(1532)"
